,Post ID,Date,Post Type,reply
67,1492066270275153922,2022-02-11 09:21:34+00:00,fav,physorg_com
68,1492064738506952705,2022-02-11 09:15:29+00:00,fav,JaneidyEve
69,1492050572505137161,2022-02-11 08:19:12+00:00,post,SpaceX
70,1492050352664887315,2022-02-11 08:18:19+00:00,post,NASASpaceflight
71,1492030438189244431,2022-02-11 06:59:11+00:00,fav,eraz00r
72,1492020224388104192,2022-02-11 06:18:36+00:00,fav,PPathole
73,1492013232437047298,2022-02-11 05:50:49+00:00,fav,BBCScienceNews
74,1492007788414971926,2022-02-11 05:29:11+00:00,post,
75,1492007681791569936,2022-02-11 05:28:46+00:00,post,
76,1492007349271343124,2022-02-11 05:27:26+00:00,post,
77,1492004958392233993,2022-02-11 05:17:56+00:00,fav,TheMarsSociety
78,1491986699601252356,2022-02-11 04:05:23+00:00,fav,GailAlfarATX
79,1491985687050137638,2022-02-11 04:01:22+00:00,fav,tobyliiiiiiiiii
80,1491983253196075008,2022-02-11 03:51:41+00:00,fav,teslaownersSV
81,1491980690279354403,2022-02-11 03:41:30+00:00,fav,Erdayastronaut
82,1491977988946251819,2022-02-11 03:30:46+00:00,fav,waitbutwhy
83,1491976240667848706,2022-02-11 03:23:50+00:00,fav,Kristennetten
84,1491970938904195074,2022-02-11 03:02:45+00:00,fav,EvaFoxU
85,1491968202175352835,2022-02-11 02:51:53+00:00,fav,ICannot_Enough
86,1491967011727069197,2022-02-11 02:47:09+00:00,fav,kulpability
87,1491963011447328768,2022-02-11 02:31:15+00:00,fav,NASASpaceflight
88,1491962750817509382,2022-02-11 02:30:13+00:00,fav,NASASpaceflight
89,1491960410462998531,2022-02-11 02:20:55+00:00,fav,NASASpaceflight
90,1491954347160203266,2022-02-11 01:56:50+00:00,post,
91,1491951049640484867,2022-02-11 01:43:44+00:00,fav,TrevorMahlmann
92,1491941418595762176,2022-02-11 01:05:27+00:00,fav,NASASpaceflight
93,1491936112662695938,2022-02-11 00:44:22+00:00,fav,UniverCurious
94,1491931362064015360,2022-02-11 00:25:30+00:00,post,TheBabylonBee
95,1491929754794180611,2022-02-11 00:19:06+00:00,post,wintonARK
96,1491883453633101837,2022-02-10 21:15:07+00:00,post,waitbutwhy
97,1491878513497948172,2022-02-10 20:55:30+00:00,fav,justdebbb
98,1491855583875588105,2022-02-10 19:24:23+00:00,fav,RGVaerialphotos
99,1491848178294878208,2022-02-10 18:54:57+00:00,fav,yuris
100,1491844386061172739,2022-02-10 18:39:53+00:00,fav,johnkrausphotos
101,1491839745772736514,2022-02-10 18:21:27+00:00,fav,bevedoni
102,1491818745135837201,2022-02-10 16:58:00+00:00,post,cnunezimages
103,1491817170258563080,2022-02-10 16:51:44+00:00,post,
104,1491803740755480577,2022-02-10 15:58:22+00:00,fav,cnunezimages
105,1491801247199858690,2022-02-10 15:48:28+00:00,fav,teslaownersSV
106,1491769982266576899,2022-02-10 13:44:14+00:00,fav,thejackbeyer
107,1491766229991890946,2022-02-10 13:29:19+00:00,fav,NicAnsuini
108,1491765944234000385,2022-02-10 13:28:11+00:00,fav,NASASpaceflight
109,1491673582149472256,2022-02-10 07:21:10+00:00,fav,PPathole
110,1491671057064808448,2022-02-10 07:11:08+00:00,fav,nextspaceflight
111,1491656488976371714,2022-02-10 06:13:15+00:00,fav,NASASpaceflight
112,1491645009422077952,2022-02-10 05:27:38+00:00,fav,engineers_feed
113,1491639263686844418,2022-02-10 05:04:48+00:00,post,
114,1491636510642167809,2022-02-10 04:53:52+00:00,post,
115,1491634769934753799,2022-02-10 04:46:57+00:00,post,elonmusk
116,1491634052872523776,2022-02-10 04:44:06+00:00,fav,NASASpaceflight
117,1491632890660204546,2022-02-10 04:39:28+00:00,fav,Erdayastronaut
118,1491631000232759305,2022-02-10 04:31:58+00:00,post,
119,1491622861479555072,2022-02-10 03:59:37+00:00,fav,redditSpacePorn
120,1491602547487948806,2022-02-10 02:38:54+00:00,fav,mayemusk
121,1491594553253679106,2022-02-10 02:07:08+00:00,fav,TeslaHype
122,1491531384900435972,2022-02-09 21:56:08+00:00,post,slashdot
123,1491529818986487816,2022-02-09 21:49:54+00:00,post,TechCrunch
124,1491526060009213955,2022-02-09 21:34:58+00:00,post,archillect
125,1491525871517286404,2022-02-09 21:34:13+00:00,post,
126,1491522859616903168,2022-02-09 21:22:15+00:00,post,SawyerMerritt
127,1491506387297480709,2022-02-09 20:16:48+00:00,post,TheBabylonBee
128,1491505795724369925,2022-02-09 20:14:27+00:00,post,SawyerMerritt
129,1491282388001116163,2022-02-09 05:26:42+00:00,post,BillyM2k
130,1491154789929205761,2022-02-08 20:59:40+00:00,post,TheBabylonBee
131,1491151842134601728,2022-02-08 20:47:58+00:00,post,GailAlfarATX
132,1491150660456562689,2022-02-08 20:43:16+00:00,post,SawyerMerritt
133,1491150551752769538,2022-02-08 20:42:50+00:00,post,POTUS
134,1490909887676973056,2022-02-08 04:46:31+00:00,post,teslaownersSV
135,1490832993258450944,2022-02-07 23:40:58+00:00,post,elonmusk
136,1490831891640946689,2022-02-07 23:36:35+00:00,post,GailAlfarATX
137,1490831581606416384,2022-02-07 23:35:22+00:00,post,GuiStroz
138,1490830963290427392,2022-02-07 23:32:54+00:00,post,stevenmarkryan
139,1490830733270679553,2022-02-07 23:31:59+00:00,post,JohnnaCrider1
140,1490828521584971777,2022-02-07 23:23:12+00:00,post,greg16676935420
141,1490828423953977346,2022-02-07 23:22:49+00:00,post,slashdot
142,1490827367753056257,2022-02-07 23:18:37+00:00,post,
143,1490826723356782596,2022-02-07 23:16:03+00:00,post,TheBabylonBee
144,1490765429199052803,2022-02-07 19:12:30+00:00,post,wintonARK
145,1490749693697081354,2022-02-07 18:09:58+00:00,post,
146,1490742889344864267,2022-02-07 17:42:56+00:00,post,elonmusk
147,1490740554916941829,2022-02-07 17:33:39+00:00,post,BLKMDL3
148,1490738627382595587,2022-02-07 17:26:00+00:00,post,BillyM2k
149,1490736010283700225,2022-02-07 17:15:36+00:00,post,NathalieRach
150,1490731702825721860,2022-02-07 16:58:29+00:00,post,Not_the_Bee
151,1490535156280696833,2022-02-07 03:57:28+00:00,post,UniverCurious
152,1490473327873466369,2022-02-06 23:51:47+00:00,post,boringcompany
153,1490466493460582404,2022-02-06 23:24:38+00:00,post,Teslarati
154,1490451380364009472,2022-02-06 22:24:34+00:00,post,nypost
155,1490405366038994960,2022-02-06 19:21:44+00:00,post,slashdot
