,Post ID,Date,Post Type,reply
0,1494065800482902030,2022-02-16 21:46:59+00:00,post,westcoastbill
1,1494063725569056771,2022-02-16 21:38:45+00:00,post,RenataKonkoly
2,1494061546506493952,2022-02-16 21:30:05+00:00,post,JoeBiden
3,1494060916782084100,2022-02-16 21:27:35+00:00,post,24_7TeslaNews
4,1494060665459384322,2022-02-16 21:26:35+00:00,post,SawyerMerritt
5,1494025467732631556,2022-02-16 19:06:43+00:00,post,WholeMarsBlog
6,1494022564972150788,2022-02-16 18:55:11+00:00,fav,teslaownersSV
7,1494009139147640833,2022-02-16 18:01:50+00:00,fav,BillyM2k
8,1493995159591084035,2022-02-16 17:06:17+00:00,fav,rookisaacman
9,1493985862270566404,2022-02-16 16:29:21+00:00,fav,waitbutwhy
10,1493781054934564868,2022-02-16 02:55:31+00:00,fav,rookisaacman
11,1493758757582651392,2022-02-16 01:26:55+00:00,post,BillyM2k
12,1493699958045880329,2022-02-15 21:33:16+00:00,fav,boringcompany
13,1493637637902581763,2022-02-15 17:25:37+00:00,fav,shivon
14,1493600868943421443,2022-02-15 14:59:31+00:00,fav,waitbutwhy
15,1493529110362083332,2022-02-15 10:14:22+00:00,fav,DillonLoomis22
16,1493415642976124929,2022-02-15 02:43:30+00:00,fav,PPathole
17,1493412698696171521,2022-02-15 02:31:48+00:00,post,elonmusk
18,1493411717019230209,2022-02-15 02:27:54+00:00,post,
19,1493403047279529985,2022-02-15 01:53:27+00:00,fav,Tesmanian_com
20,1493395703854473220,2022-02-15 01:24:16+00:00,post,Liv_Boeree
21,1493370999416320002,2022-02-14 23:46:06+00:00,fav,pschofie
22,1493366847655321603,2022-02-14 23:29:36+00:00,post,SirineAti
23,1493359783608467459,2022-02-14 23:01:32+00:00,post,TeslaGong
24,1493359215205056513,2022-02-14 22:59:16+00:00,fav,TeslaGong
25,1493358993426812928,2022-02-14 22:58:23+00:00,post,swenterprizes
26,1493358689985732615,2022-02-14 22:57:11+00:00,fav,kimpaquette
27,1493358044989767683,2022-02-14 22:54:37+00:00,post,
28,1493310083014475778,2022-02-14 19:44:02+00:00,post,
29,1493284126098661379,2022-02-14 18:00:54+00:00,post,TeslaPodcast
30,1493280134115344387,2022-02-14 17:45:02+00:00,fav,airandspace
31,1493273946443165701,2022-02-14 17:20:27+00:00,fav,NASASpaceflight
32,1493249300738056196,2022-02-14 15:42:31+00:00,post,
33,1493235054688014342,2022-02-14 14:45:54+00:00,fav,thesheetztweetz
34,1493233990689767426,2022-02-14 14:41:40+00:00,fav,28delayslater
35,1493229073149087751,2022-02-14 14:22:08+00:00,fav,WorldAndScience
36,1492761967081181184,2022-02-13 07:26:01+00:00,post,teslaownersSV
37,1492746331886002179,2022-02-13 06:23:54+00:00,fav,teslaownersSV
38,1492669377010929664,2022-02-13 01:18:06+00:00,fav,TesLatino
39,1492668354385088516,2022-02-13 01:14:02+00:00,fav,RenataKonkoly
40,1492667516275105792,2022-02-13 01:10:42+00:00,post,Filasophical
41,1492666559277551616,2022-02-13 01:06:54+00:00,post,TeslaHistorian
42,1492665927472713729,2022-02-13 01:04:24+00:00,post,JeffTutorials
43,1492657209418784768,2022-02-13 00:29:45+00:00,fav,wonderofscience
44,1492647146880790533,2022-02-12 23:49:46+00:00,fav,johnkrausphotos
45,1492600158386753536,2022-02-12 20:43:03+00:00,fav,vincent13031925
46,1492594591949799427,2022-02-12 20:20:56+00:00,post,BillyM2k
47,1492575157503811587,2022-02-12 19:03:42+00:00,fav,Rainmaker1973
48,1492571458861731846,2022-02-12 18:49:01+00:00,post,Tesmanian_com
49,1492487262986063884,2022-02-12 13:14:27+00:00,fav,BillyM2k
50,1492374322429640706,2022-02-12 05:45:40+00:00,fav,JayinShanghai
51,1492356135210393600,2022-02-12 04:33:23+00:00,fav,JaneidyEve
52,1492298039113003008,2022-02-12 00:42:32+00:00,fav,PPathole
53,1492292340094062604,2022-02-12 00:19:53+00:00,fav,thejackbeyer
54,1492267416474501120,2022-02-11 22:40:51+00:00,fav,Liv_Boeree
55,1492252152814702594,2022-02-11 21:40:12+00:00,fav,teslaownersSV
56,1492249930974449665,2022-02-11 21:31:22+00:00,fav,Tesmanian_com
57,1492246282751991808,2022-02-11 21:16:53+00:00,fav,WholeMarsBlog
58,1492243972714110977,2022-02-11 21:07:42+00:00,post,ArceneauxHayley
59,1492227328386154509,2022-02-11 20:01:33+00:00,post,
60,1492225095754035202,2022-02-11 19:52:41+00:00,post,WholeMarsBlog
61,1492221249958854663,2022-02-11 19:37:24+00:00,fav,BillyM2k
62,1492184293115940864,2022-02-11 17:10:33+00:00,post,28delayslater
63,1492184094939176962,2022-02-11 17:09:46+00:00,post,heydave7
64,1492130832693317634,2022-02-11 13:38:07+00:00,fav,WorldAndScience
65,1492113542501498881,2022-02-11 12:29:25+00:00,fav,hiromichimizuno
66,1492091122033774595,2022-02-11 11:00:19+00:00,fav,Erdayastronaut
